request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102121&c-r-ot=H,c-t-id,102121,"POWERS, MIKE",c-t-eid,3282529,"POWERS, MIKE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8726,"ASSEMBLY DISTRICT 080",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",89,45449.98
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102154&c-r-ot=H,c-t-id,102154,"SUDER, SCOTT",c-t-eid,13009631,"SUDER, SCOTT",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8715,"ASSEMBLY DISTRICT 069",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",207,45089.14
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102143&c-r-ot=H,c-t-id,102143,"STONE, JEFF",c-t-eid,13009671,"STONE, JEFF",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8728,"ASSEMBLY DISTRICT 082",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",224,43213.89
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=48603&c-r-ot=H,c-t-id,48603,"DUEHOLM, ROBERT",c-t-eid,13009518,"DUEHOLM, ROBERT",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8674,"ASSEMBLY DISTRICT 028",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",341,42264.00
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102144&c-r-ot=H,c-t-id,102144,"SYKORA, TOM",c-t-eid,6651225,"SYKORA, TOM",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8713,"ASSEMBLY DISTRICT 067",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",243,42064.33
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102151&c-r-ot=H,c-t-id,102151,"SPILLNER, JOAN WADE",c-t-eid,6651220,"SPILLNER, JOAN WADE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8688,"ASSEMBLY DISTRICT 042",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",267,41692.35
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102076&c-r-ot=H,c-t-id,102076,"HUBER, GREG",c-t-eid,13009676,"HUBER, GREG",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8731,"ASSEMBLY DISTRICT 085",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",120,40956.79
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102175&c-r-ot=H,c-t-id,102175,"KERKMAN, SAMANTHA",c-t-eid,2853597,"KERKMAN, SAMANTHA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8712,"ASSEMBLY DISTRICT 066",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",162,40865.00
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102131&c-r-ot=H,c-t-id,102131,"GUNDERSON, SCOTT L",c-t-eid,13009673,"GUNDERSON, SCOTT L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8729,"ASSEMBLY DISTRICT 083",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",191,40585.40
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=48630&c-r-ot=H,c-t-id,48630,"POPE, SONDY M",c-t-eid,3284061,"POPE, SONDY M",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8725,"ASSEMBLY DISTRICT 079",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",195,39000.00
